"state","decision","correct","count","winning_prob"
"653","2,5",63,120,0.52
"75","2,5",40,96,0.42
"751","2,5",45,159,0.28
"752","2,5",34,81,0.42
"753","2,5",5051,9857,0.51
"111","3,1",0,508,0
"211","3,1",166,299,0.56
"221","3,1",848,1005,0.84
"222","3,1",13,21,0.62
"311","3,1",94,263,0.36
"321","3,1",1448,4921,0.29
"322","3,1",43,83,0.52
"331","3,1",89,168,0.53
"332","3,1",70,131,0.53
"333","3,1",16,33,0.48
"411","3,1",26,78,0.33
"421","3,1",51,108,0.47
"422","3,1",39,78,0.5
"431","3,1",72,151,0.48
"432","3,1",44,111,0.4
"433","3,1",178,338,0.53
"441","3,1",1818,2293,0.79
"442","3,1",5,13,0.38
"443","3,1",26,43,0.6
"511","3,1",33,77,0.43
"521","3,1",73,157,0.46
"522","3,1",21,36,0.58
"531","3,1",168,352,0.48
"532","3,1",98,216,0.45
"533","3,1",71,160,0.44
"541","3,1",257,872,0.29
"542","3,1",253,319,0.79
"543","3,1",70,157,0.45
"551","3,1",21,39,0.54
"552","3,1",17,38,0.45
"553","3,1",126,249,0.51
"611","3,1",5,15,0.33
"621","3,1",15,29,0.52
"622","3,1",1,4,0.25
"631","3,1",74,144,0.51
"632","3,1",19,45,0.42
"633","3,1",6,16,0.38
"641","3,1",8,23,0.35
"642","3,1",124,605,0.2
"643","3,1",587,699,0.84
"651","3,1",118,228,0.52
"652","3,1",5,11,0.45
"653","3,1",42,82,0.51
"711","3,1",14,25,0.56
"721","3,1",26,59,0.44
"722","3,1",5,11,0.45
"731","3,1",229,439,0.52
"732","3,1",174,357,0.49
"733","3,1",70,144,0.49
"741","3,1",19,50,0.38
"742","3,1",23,58,0.4
"743","3,1",834,2648,0.31
"751","3,1",70,155,0.45
"752","3,1",27,59,0.46
"753","3,1",774,1584,0.49
"222","3,2",50,58,0.86
"322","3,2",38,73,0.52
"332","3,2",53,104,0.51
"333","3,2",20,43,0.47
"422","3,2",16,34,0.47
"432","3,2",241,529,0.46
"433","3,2",67,134,0.5
"442","3,2",249,292,0.85
"443","3,2",5,14,0.36
"522","3,2",11,28,0.39
"532","3,2",126,264,0.48
"533","3,2",181,348,0.52
"542","3,2",13,33,0.39
"543","3,2",778,1175,0.66
"552","3,2",16,35,0.46
"553","3,2",55,109,0.5
"622","3,2",2,5,0.4
"632","3,2",13,31,0.42
"633","3,2",10,17,0.59
"642","3,2",291,1420,0.2
"643","3,2",11,26,0.42
"652","3,2",14,25,0.56
"653","3,2",36,71,0.51
